#ofGenes,Estimated_True_QS_ASTRAL
1,27249
2,25918
3,26530
4,26338
5,27475
6,26979
7,26591
8,26684
9,26928
10,26781
11,26474
12,26819
13,26594
14,26785
15,26689
16,26196
17,26228
18,27358
19,26728
20,26387
