#ofGenes,Estimated_QS_ASTRAL
1,26791
2,26781
3,26684
4,26597
5,25918
6,27249
7,26979
8,26591
9,26483
10,26474
11,26196
12,26338
13,26617
14,27475
15,26728
16,27358
17,26928
18,26869
19,26267
20,26785
