#ofGenes,Estimated_True_QS_ASTRAL
1,1520
2,1433
3,1392
4,1488
5,1477
6,1277
7,1317
8,1540
9,1332
10,1398
11,1437
12,1380
13,1474
14,1018
15,1504
16,1454
17,1497
18,1498
19,1339
20,1508
