#ofGenes,Estimated_True_QS_ASTRAL
1,14193
2,14078
3,14444
4,14488
5,14079
6,13458
7,14319
8,14125
9,14756
10,14329
11,14122
12,14075
13,13808
14,14515
15,14144
16,14463
17,14812
18,14028
19,14292
20,14296
