#ofGenes,Estimated_QS_ASTRAL
1,14144
2,14329
3,14125
4,14444
5,14078
6,14193
7,13458
8,14319
9,14296
10,14122
11,14463
12,14488
13,13808
14,14079
15,14292
16,14028
17,14756
18,14075
19,14812
20,14515
