#ofGenes,Estimated_QS_ASTRAL
1,1369
2,1382
3,1318
4,1332
5,1332
6,1408
7,1326
8,1339
9,1330
10,1413
11,1372
12,1307
13,1378
14,1428
15,1340
16,1328
17,1311
18,2839
19,1369
20,1390
