#ofGenes,Estimated_EL_Inferred_By_Astral_Using_Phylonet
1,10
2,16
3,16
4,45
5,11
6,34
7,51
8,32
9,25
10,26
11,28
12,50
13,27
14,24
15,28
16,18
17,67
18,77
19,43
20,36
