#ofGenes,Extraliniage_Score_Estimated_True
1,47
2,49
3,42
4,35
5,36
6,41
7,46
8,73
9,40
10,33
11,37
12,56
13,38
14,38
15,39
16,42
17,36
18,40
19,49
20,36
