#ofGenes,Extraliniage_Score_Estimated_Phylonet
1,16
2,19
3,13
4,24
5,10
6,12
7,10
8,9
9,48
10,11
11,10
12,25
13,9
14,7
15,16
16,22
17,18
18,9
19,8
20,16
