#ofGenes,Estimated_QS_ASTRAL
1,28437
2,28452
3,28875
4,28902
5,29433
6,28598
7,28226
8,28421
9,28465
10,28820
11,27396
12,28638
13,28673
14,28448
15,28449
16,28849
17,28144
18,28471
19,28780
20,28481
