#ofGenes,Estimated_True_QS_ASTRAL
1,28598
2,29433
3,28902
4,28638
5,28448
6,28226
7,28421
8,28875
9,28144
10,28452
11,28820
12,28471
13,28673
14,28481
15,28437
16,27396
17,28780
18,28849
19,28449
20,28465
