#ofGenes,Estimated_QS_ASTRAL
1,7174
2,7302
3,7005
4,7310
5,7034
6,7067
7,7331
8,7437
9,7276
10,6735
11,6950
12,7237
13,7368
14,7081
15,7371
16,7094
17,6864
18,7264
19,7196
20,6956
