#ofGenes,Estimated_True_QS_ASTRAL
1,7067
2,7034
3,7310
4,7237
5,7081
6,7331
7,7437
8,7005
9,6864
10,7302
11,6735
12,7264
13,7368
14,6956
15,7174
16,6950
17,7196
18,7094
19,7371
20,7276
