#ofGenes,Estimated_True_QS_ASTRAL
1,3964
2,3949
3,4164
4,3973
5,3956
6,3856
7,4045
8,4013
9,4148
10,3953
11,4132
12,3981
13,4143
14,4113
15,4165
16,4089
17,4196
18,3924
19,4048
20,4046
