#ofGenes,Estimated_QS_ASTRAL
1,4168
2,3989
3,4036
4,4170
5,3949
6,3965
7,4022
8,4079
9,4046
10,4132
11,4107
12,3993
13,4143
14,3964
15,4094
16,3948
17,4148
18,4047
19,4217
20,4148
