#ofGenes,Extraliniage_Score_Estimated_Phylonet
1,15
2,25
3,22
4,23
5,24
6,20
7,16
8,21
9,17
10,18
11,16
12,22
13,20
14,23
15,32
16,22
17,25
18,22
19,21
20,19
