#ofGenes,Estimated_EL_Inferred_By_Astral_Using_Phylonet
1,341
2,408
3,430
4,824
5,359
6,794
7,839
8,378
9,2594
10,830
11,780
12,416
13,827
14,411
15,410
16,423
17,433
18,525
19,451
20,416
