#ofGenes,Extraliniage_Score_Estimated_Phylonet
1,347
2,294
3,326
4,338
5,344
6,258
7,333
8,453
9,356
10,307
11,315
12,334
13,357
14,306
15,338
16,376
17,366
18,293
19,320
20,342
