#ofGenes,Extraliniage_Score_Estimated_True
1,794
2,821
3,827
4,787
5,797
6,780
7,861
8,830
9,824
10,827
11,817
12,839
13,786
14,812
15,829
16,813
17,895
18,780
19,820
20,801
