#ofGenes,Estimated_EL_Inferred_By_Astral_Using_Phylonet
1,440
2,334
3,1283
4,255
5,310
6,284
7,433
8,303
9,280
10,422
11,326
12,325
13,256
14,332
15,318
16,1270
17,463
18,276
19,317
20,344
