#ofGenes,Extraliniage_Score_Estimated_True
1,454
2,444
3,468
4,447
5,463
6,460
7,431
8,455
9,474
10,425
11,422
12,447
13,527
14,450
15,437
16,446
17,469
18,432
19,433
20,436
