#ofGenes,Extraliniage_Score_Estimated_Phylonet
1,217
2,220
3,267
4,201
5,187
6,203
7,210
8,223
9,226
10,236
11,218
12,220
13,184
14,228
15,243
16,228
17,217
18,203
19,230
20,207
