#ofGenes,Extraliniage_Score_Estimated_True
1,242
2,209
3,204
4,209
5,223
6,243
7,236
8,220
9,235
10,204
11,242
12,236
13,261
14,221
15,183
16,237
17,245
18,216
19,208
20,227
