#ofGenes,Extraliniage_Score_Estimated_Phylonet
1,98
2,124
3,119
4,106
5,84
6,105
7,110
8,123
9,102
10,112
11,116
12,109
13,104
14,99
15,114
16,113
17,118
18,99
19,96
20,115
