#ofGenes,Estimated_EL_Inferred_By_Astral_Using_Phylonet
1,174
2,155
3,319
4,227
5,152
6,315
7,158
8,151
9,132
10,128
11,151
12,171
13,183
14,167
15,158
16,152
17,128
18,182
19,237
20,152
