#ofGenes,Estimated_EL_Inferred_By_Astral_Using_Phylonet
1,860
2,927
3,498
4,643
5,600
6,573
7,882
8,597
9,572
10,635
11,650
12,1310
13,513
14,658
15,619
16,579
17,658
18,937
19,566
20,589
