#ofGenes,Extraliniage_Score_Estimated_True
1,906
2,916
3,842
4,887
5,873
6,899
7,893
8,885
9,878
10,913
11,925
12,882
13,984
14,920
15,907
16,927
17,937
18,917
19,931
20,852
