#ofGenes,Estimated_QS_ASTRAL
1,6758
2,6570
3,6876
4,6484
5,6702
6,6684
7,6703
8,6833
9,7004
10,6494
11,6533
12,6543
13,6977
14,6786
15,6573
16,6821
17,6605
18,6667
19,6592
20,6703
