#ofGenes,Estimated_True_QS_ASTRAL
1,6653
2,6680
3,6479
4,6518
5,6779
6,6703
7,6833
8,6834
9,6604
10,6560
11,6494
12,6667
13,6977
14,6703
15,6741
16,6508
17,6592
18,6788
19,6492
20,6984
