#ofGenes,Extraliniage_Score_Estimated_Phylonet
1,176
2,152
3,149
4,177
5,166
6,180
7,173
8,164
9,140
10,118
11,179
12,156
13,162
14,182
15,187
16,242
17,135
18,187
19,199
20,174
