#ofGenes,Extraliniage_Score_Estimated_True
1,390
2,402
3,433
4,443
5,419
6,390
7,392
8,386
9,423
10,399
11,411
12,473
13,389
14,441
15,397
16,418
17,402
18,428
19,415
20,420
