#ofGenes,Estimated_EL_Inferred_By_Astral_Using_Phylonet
1,217
2,402
3,397
4,592
5,386
6,176
7,213
8,183
9,257
10,411
11,137
12,418
13,420
14,191
15,223
16,217
17,419
18,275
19,312
20,312
