#ofGenes,Estimated_QS_ASTRAL
1,13994
2,13615
3,13342
4,13268
5,13544
6,13559
7,13363
8,13573
9,13726
10,13540
11,13209
12,12928
13,13301
14,13456
15,13244
16,13501
17,13311
18,13049
19,12959
20,13180
