#ofGenes,Estimated_True_QS_ASTRAL
1,13537
2,13511
3,13238
4,12928
5,13436
6,13363
7,13541
8,13342
9,13311
10,13615
11,13540
12,12899
13,13301
14,13180
15,13994
16,13208
17,12959
18,13458
19,13244
20,13652
