#ofGenes,Estimated_EL_Inferred_By_Astral_Using_Phylonet
1,84
2,89
3,244
4,112
5,85
6,131
7,81
8,92
9,98
10,134
11,82
12,84
13,106
14,91
15,109
16,141
17,115
18,78
19,133
20,99
