#ofGenes,Extraliniage_Score_Estimated_True
1,119
2,133
3,142
4,140
5,129
6,111
7,125
8,132
9,125
10,115
11,134
12,135
13,137
14,134
15,127
16,126
17,133
18,143
19,137
20,134
