#ofGenes,Extraliniage_Score_Estimated_Phylonet
1,73
2,54
3,63
4,59
5,60
6,69
7,67
8,60
9,54
10,49
11,62
12,54
13,52
14,58
15,57
16,60
17,58
18,65
19,56
20,67
