#ofGenes,Estimated_EL_Inferred_By_Astral_Using_Phylonet
1,132
2,91
3,90
4,113
5,89
6,109
7,114
8,203
9,96
10,289
11,666
12,95
13,205
14,271
15,115
16,129
17,122
18,121
19,135
20,86
