#ofGenes,Extraliniage_Score_Estimated_Phylonet
1,89
2,70
3,77
4,61
5,71
6,86
7,94
8,102
9,97
10,76
11,115
12,63
13,78
14,99
15,70
16,69
17,108
18,82
19,61
20,69
