#ofGenes,Extraliniage_Score_Estimated_True
1,192
2,192
3,200
4,216
5,211
6,194
7,221
8,213
9,201
10,188
11,192
12,187
13,203
14,189
15,205
16,227
17,221
18,209
19,195
20,224
